CompanyName;tickers;country;industry;ISIN;
Laboratorios Rovi;ROVI.MC;ES;PHA;;
DEUTSCHE WOHNEN;DWNI.DE;DE;INM;;
PORSCHE ;PAH3.DE;DE;AUT;;
EURONAV;EURN.BR;BE;OIL;;
Tarkett S.A;TKTT.PA;FR;;;
IMMOFINANZ AG;IIA.VI;AT;INS;;
Osterreichische Post AG;POST.VI;AT;;;
OMV Aktiengesellschaft;OMV.VI;AT;;;
Lenzing Aktiengesellschaft;LNZ.VI;AT;;;
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft;ATS.VI;AT;;;
CA Immobilien Anlagen AG;CAI.VI;AT;INM;;
VERBUND AG;VER.VI;AT;;;
Telekom Austria AG;TKA.VI;AT;COM;;
Voestalpine AG;VOE.VI;AT;;;
Mayr-Melnhof Karton AG;MMK.VI;AT;;;
Erste Group Bank AG;EBS.VI;AT;;;
Schoeller-Bleckmann Oilfield Equipment Aktiengesellschaft;SBO.VI;AT;;;
Wienerberger AG;WIE.VI;AT;;;
Raiffeisen Bank International AG;RBI.VI;AT;;;
UNIQA Insurance Group AG;UQA.VI;AT;;;
Andritz AG;ANDR.VI;AT;;;
Vienna Insurance Group AG;VIG.VI;AT;;;
BAWAG Group AG;BG.VI;AT;;;
DO & CO Aktiengesellschaft;DOC.VI;AT;;;
S IMMO AG;SPI.VI;AT;;;
PUMA;PUM.DE ;DE;;;
KION GROUP AG;KGX.DE;DE;;;
Fielmann Aktiengesellschaft;FIE.DE;DE;;;
RTL Group S.A.;RRTL.DE;DE;;;
Schaeffler AG;SHA.DE;DE;;;
HOCHTIEF Aktiengesellschaft;HOT.DE;DE;;;
Evonik Industries AG;EVK.DE;DE;;;
LANXESS Aktiengesellschaft;LXS.DE;DE;;;
LEG Immobilien AG;LEG.DE;DE;INM;;
TAG Immobilien AG;TEG.DE;DE;INM;;
Fuchs Petrolub SE;FPE3.DE;DE;CHE;;
Sudzucker AG;SZU.DE;DE;;;
Durr Aktiengesellschaft;DUE.DE;DE;;;
Hannover Ruck SE;HNR1.DE;DE;;;
Steinhoff International Holdings N.V.;SNH.DE;DE;;;
Gerresheimer AG;GXI.DE;DE;;;
CTS Eventim AG & Co. KGaA;EVD.DE;DE;;;
Jungheinrich Aktiengesellschaft;JUN3.DE;DE;;;
Fraport AG;FRA.DE;DE;AIR;;
Savencia;SAVE.PA ;FR;FOOD;;
Intesa San Paolo;ISP.MI;IT;BAN;;
Audi;NSU.DE;DE;AUT;;
Knorr-Bremse ;KBX.DE;DE;AUT;;
Renault;RNA.PA;FR;AUT;;
Valeo SA;FR.PA;FR;AUT;;
Compagnie Plastic Omnium SA ;POM.PA;FR;AUT;;
Rubis;RUI.PA;FR;UTL;;
CRH;CRG.IR;IR;CONS;;
Kerry Group;KRZ.IR;IR;FOOD;;
Kingspan Group;KRX.IR;IR;CONS;;
Kapsch TrafficCom;KTCG.VI;AT;TECH;;
Metro AG;MEO.VI;AT;SUP;;
Dragerwerk;DRW3.DE;DE;HEALTH;;
Ahlstrom-Munksjö Oyj;AM1.HE;FI;MAT;FI4000048418;
Cargotec Oyj;CGCBV.HE;FI;IND;FI0009013429;
Citycon Oyj;CTY1S.HE;FI;BAN;FI4000369947;
Elisa Oyj;ELISA.HE;FI;COM;FI0009007884;
Fortum Oyj;FORTUM.HE;FI;UTL;FI0009007132;
Fiskars Oyj Abp;FSKRS.HE;FI;RET;FI0009000400;
Huhtamäki Oyj;HUH1V.HE;FI;IND;FI0009000459;
Konecranes Oyj;KCR.HE;FI;IND;FI0009005870;
Kemira Oyj;KEMIRA.HE;FI;MAT;FI0009004824;
Kesko Oyj A;KESKOA.HE;FI;SER;FI0009007900;
Kesko Oyj B;KESKOB.HE;FI;SER;FI0009000202;
KONE Oyj;KNEBV.HE;FI;IND;FI0009013403;
Kojamo Oyj;KOJAMO.HE;FI;BAN;FI4000312251;
Metsä Board Oyj A;METSA.HE;FI;MAT;FI0009000640;
Metsä Board Oyj B;METSB.HE;FI;MAT;FI0009000665;
Metso Outotec Oyj;MOCORP.HE;FI;IND;FI0009014575;
Nordea Bank Abp;NDA-FI.HE;FI;BAN;FI4000297767;
Neles Oyj;NELES.HE;FI;IND;FI4000440664;
Neste Oyj;NESTE.HE;FI;OIL;FI0009013296;
Nokia Oyj;NOKIA.HE;FI;TECH;FI0009000681;
Orion Oyj A;ORNAV.HE;FI;HEALTH;FI0009014369;
Orion Oyj B;ORNBV.HE;FI;HEALTH;FI0009014377;
Outokumpu Oyj;OUT1V.HE;FI;MAT;FI0009002422;
Sanoma Oyj;SAA1V.HE;FI;SER;FI0009007694;
Sampo Oyj A;SAMPO.HE;FI;BAN;FI0009003305;
SSAB A;SSABAH.HE;FI;MAT;SE0000171100;
SSAB B;SSABBH.HE;FI;MAT;SE0000120669;
Stora Enso Oyj A;STEAV.HE;FI;MAT;FI0009005953;
Telia Company;TELIA1.HE;FI;COM;SE0000667925;
TietoEVRY Oyj;TIETO.HE;FI;TECH;FI0009000277;
Terveystalo Oyj;TTALO.HE;FI;HEALTH;FI4000252127;
Nokian Renkaat Oyj;TYRES.HE;FI;RET;FI0009005318;
UPM-Kymmene Oyj;UPM.HE;FI;MAT;FI0009005987;
Valmet Oyj;VALMT.HE;FI;IND;FI4000074984;
Wärtsilä Oyj Abp;WRT1V.HE;FI;IND;FI0009003727;
YIT Oyj;YIT.HE;FI;IND;FI0009800643;
Afarak Group Oyj;AFAGR.HE;FI;MAT;FI0009800098;
Aktia Bank Abp;AKTIA.HE;FI;BAN;FI4000058870;
Ålandsbanken Abp A;ALBAV.HE;FI;BAN;FI0009000103;
Ålandsbanken Abp B;ALBBV.HE;FI;BAN;FI0009001127;
Alma Media Oyj;ALMA.HE;FI;SER;FI0009013114;
Altia Oyj;ALTIA.HE;FI;RET;FI4000292438;
Aspo Oyj;ASPO.HE;FI;IND;FI0009008072;
Atria Oyj A;ATRAV.HE;FI;RET;FI0009006548;
Basware Oyj;BAS1V.HE;FI;TECH;FI0009008403;
Bittium Oyj;BITTI.HE;FI;TECH;FI0009007264;
CapMan Oyj;CAPMAN.HE;FI;BAN;FI0009009377;
Caverion Oyj;CAV1V.HE;FI;IND;FI4000062781;
Enento Group Oyj;ENENTO.HE;FI;BAN;FI4000123195;
eQ Oyj;EQV1V.HE;FI;BAN;FI0009009617;
Etteplan Oyj;ETTE.HE;FI;IND;FI0009008650;
Evli Pankki Oyj;EVLI.HE;FI;BAN;FI4000170915;
Finnair Oyj;FIA1S.HE;FI;SER;FI0009003230;
