"CompanyName";"tickers";"country";"industry";"ISIN"
"DELTA PLUS GROUP";"DLTA.PA";"FR";NA;"FR0013283108"
"DERICHEBOURG";"DBG.PA";"FR";NA;"FR0000053381"
"DEVOTEAM";"DVT.PA";"FR";NA;"FR0000073793"
"DGB GROUP N.V.";"DGB.AS";"HO";NA;"NL0009169515"
"DIAGNOSTIC MEDICAL";"DGM.PA";"FR";NA;"FR0012202497"
"DIETSWELL";"ALDIE.PA";"FR";NA;"FR0010377127"
"DONTNOD";"ALDNE.PA";"FR";NA;"FR0013331212"
"DPA GROUP";"DPA.AS";"HO";NA;"NL0009197771"
"DRONE VOLT";"ALDRV.PA";"FR";NA;"FR0013088606"
"EASE2PAY NV";"EAS2P.AS";"HO";NA;"NL0000345627"
"EASYVISTA";"ALEZV.PA";"FR";NA;"FR0010246322"
"ECA";"ECASA.PA";"FR";NA;"FR0010099515"
"ECONOCOM GROUP";"ECONB.BR";"BE";NA;"BE0974313455"
"ECOSLOPS";"ALESA.PA";"FR";NA;"FR0011490648"
"EGIDE";"GID.PA";"FR";NA;"FR0000072373"
"EKINOPS";"EKI.PA";"FR";NA;"FR0011466069"
"ELIA GROUP";"ELI.BR";"BE";NA;"BE0003822393"
"ELIOR GROUP";"ELIOR.PA";"FR";NA;"FR0011950732"
"ELIS";"ELIS.PA";"FR";NA;"FR0012435121"
"EMOVA GROUP";"ALEMV.PA";"FR";NA;"FR0013356755"
"ENENSYS";"ALNN6.PA";"FR";NA;"FR0013330792"
"ENERTIME";"ALENE.PA";"FR";NA;"FR0011915339"
"ENGIE EPS";"EPS.PA";"FR";NA;"FR0012650166"
"EO2";"ALEO2.PA";"FR";NA;"FR0010465534"
"EOS IMAGING";"EOSI.PA";"FR";NA;"FR0011191766"
"ERAMET";"ERA.PA";"FR";NA;"FR0000131757"
"ERYTECH PHARMA";"ERYP.PA";"FR";NA;"FR0011471135"
"ESI GROUP";"ESI.PA";"FR";NA;"FR0004110310"
"ESKER";"ALESK.PA";"FR";NA;"FR0000035818"
"ESPERITE";"ESP.AS";"HO";NA;"NL0009272137"
"EURAZEO";"RF.PA";"FR";NA;"FR0000121121"
"EURO RESSOURCES";"EUR.PA";"FR";NA;"FR0000054678"
"EUROBIO-SCIENTIFIC";"ALERS.PA";"FR";NA;"FR0013240934"
"EUROCOMMERCIAL";"ECMPA.AS";"HO";NA;"NL0000288876"
"EUROFINS SCIENT.";"ERF.PA";"FR";NA;"FR0000038259"
"EUROMEDIS GROUPE";"EMG.PA";"FR";NA;"FR0000075343"
"EURONEXT";"ENX.PA";"FR";NA;"NL0006294274"
"EUROPACORP";"ECP.PA";"FR";NA;"FR0010490920"
"EUROPCAR MOBILITY";"EUCAR.PA";"FR";NA;"FR0012789949"
"EUROPLASMA";"ALEUP.PA";"FR";NA;"FR0013514114"
"EUROPLASMA BSC";"EURBU.PA";"FR";NA;"FR0013294089"
"EUTELSAT COMMUNIC.";"ETL.PA";"FR";NA;"FR0010221234"
"EVS BROADC.EQUIPM.";"EVS.BR";"BE";NA;"BE0003820371"
"EXMAR";"EXM.BR";"BE";NA;"BE0003808251"
"FAGRON";"FAGR.BR";"BE";NA;"BE0003874915"
"FASTNED";"FAST.AS";"HO";NA;"NL0013654809"
"FBD HOLDINGS PLC";"EG7.IR";"IR";NA;"IE0003290289"
"FDJ";"FDJ.PA";"FR";NA;"FR0013451333"
"FERMENTALG";"FALG.PA";"FR";NA;"FR0011271600"
"FFP";"FFP.PA";"FR";NA;"FR0000064784"
"FIGEAC AERO";"FGA.PA";"FR";NA;"FR0011665280"
"FIPP";"FIPP.PA";"FR";NA;"FR0000038184"
"FLOW TRADERS";"FLOW.AS";"HO";NA;"NL0011279492"
"FLUTTER ENTERTAIN";"FLTR.IR";"IR";NA;"IE00BWT6H894"
"FNAC DARTY";"FNAC.PA";"FR";NA;"FR0011476928"
"FOCUS HOME INT";"ALFOC.PA";"FR";NA;"FR0012419307"
"FONC. PARIS NORD";"FPN.PA";"FR";NA;"FR0011277391"
"FRANCAISE ENERGIE";"LFDE.PA";"FR";NA;"FR0013030152"
"FREELANCE.COM";"ALFRE.PA";"FR";NA;"FR0004187367"
"FUGRO";"FUR.AS";"HO";NA;"NL0000352565"
"FUT.CLUBE PORTO";"FCP.LS";"PO";NA;"PTFCP0AM0008"
"GASCOGNE";"ALBI.PA";"FR";NA;"FR0000124414"
"GAUSSIN";"ALGAU.PA";"FR";NA;"FR0013495298"
"GECI INTL";"GECP.PA";"FR";NA;"FR0000079634"
"GENERAL ELECTRIC";"GNE.PA";"FR";NA;"US3696041033"
"GENERIX GROUP";"GENX.PA";"FR";NA;"FR0010501692"
"GENEURO";"GNRO.PA";"FR";NA;"CH0308403085"
"GENFIT";"GNFT.PA";"FR";NA;"FR0004163111"
"GENKYOTEX";"GKTX.PA";"FR";NA;"FR0013399474"
